arena,task,model,contender,n_bouts,n_ok,findings,findings_lo,findings_hi,tp,tp_lo,tp_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,judge_valid,judge_valid_lo,judge_valid_hi,cost_usd,cost_usd_lo,cost_usd_hi,tokens,tokens_lo,tokens_hi,duration_s,duration_s_lo,duration_s_hi,turns,turns_lo,turns_hi,rss_peak_mb,rss_peak_mb_lo,rss_peak_mb_hi,delta_tp,delta_tp_lo,delta_tp_hi,delta_f1,delta_f1_lo,delta_f1_hi,delta_cost_usd,delta_cost_usd_lo,delta_cost_usd_hi,cost_per_tp,skill_fired_rate,first_turn_tokens_vs_baseline,injection_flag,spent_usd,bout_ids,n_schema_violation
dvpwa,security-audit,claude-opus-4-8@high,baseline,3,3,6.0,5.0,7.0,6.0,5.0,7.0,,,,0.3158,0.2632,0.3684,,,,6.0,5.0,7.0,0.420393,0.386674,0.447262,120616.333333,114333.0,132289.0,81.014,75.292,86.005,20.666667,20.0,22.0,280.21875,267.707031,288.421875,,,,,,,,,,0.070066,,,,1.26118,b-451cb0cbf8d3d39f b-81d5a569957aec07 b-0948285cdfbd009e,
dvpwa,security-audit,claude-opus-4-8@high,anthropic-security-review-cmd,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,b-08dd1d9fb474d4a5 b-1459059465f378aa b-daabc0ef32f8a9c3,3
dvpwa,security-audit,claude-opus-4-8@high,cf-security-audit,3,3,6.333333,6.0,7.0,6.333333,6.0,7.0,,,,0.333333,0.3158,0.3684,,,,6.333333,6.0,7.0,0.614398,0.444568,0.905488,348319.333333,182990.0,670352.0,111.532667,96.967,135.463,23.333333,21.0,25.0,293.591146,290.851562,296.382812,0.333333,-0.666667,1.333333,,,,0.194005,0.024075,0.471571,0.09701,1.0,9408.0,,1.843195,b-31983800358aff05 b-7c9ec5dfea8b00f0 b-804bdfee01c983a4,
dvpwa,security-audit,claude-opus-4-8@high,ecc-security-review,3,3,6.666667,6.0,7.0,6.666667,6.0,7.0,,,,0.350867,0.3158,0.3684,,,,6.666667,6.0,7.0,0.423322,0.403589,0.448337,156140.333333,136754.0,166191.0,78.536667,71.216,88.173,21.666667,20.0,23.0,260.170573,246.597656,281.753906,0.666667,-0.333333,1.666667,,,,0.002929,-0.030328,0.038041,0.063498,1.0,7465.0,,1.269967,b-2ced92f493905977 b-ba883032b40f4cc6 b-8c02f71718d194f9,
dvpwa,security-audit,claude-opus-4-8@high,every-ce-security-reviewer,3,3,7.0,7.0,7.0,7.0,7.0,7.0,,,,0.3684,0.3684,0.3684,,,,7.0,7.0,7.0,0.398779,0.381251,0.410196,126371.666667,116403.0,143650.0,86.537667,81.851,93.902,20.0,19.0,21.0,251.428385,235.382812,281.792969,1.0,0.0,2.0,,,,-0.021614,-0.050251,0.010381,0.056968,1.0,4066.0,,1.196338,b-b8899439c83812cd b-e3091b2c2dbe53b9 b-6df1e36caf1209b6,
dvpwa,security-audit,claude-opus-4-8@high,neolab-security-auditor,3,3,7.0,7.0,7.0,7.0,7.0,7.0,,,,0.3684,0.3684,0.3684,,,,7.0,7.0,7.0,0.423902,0.370843,0.495507,145141.0,125484.0,157074.0,82.139,77.505,90.681,21.333333,19.0,24.0,291.746094,289.597656,293.945312,1.0,0.0,2.0,,,,0.003508,-0.053481,0.068263,0.060557,1.0,5633.0,,1.271705,b-301eceadefed5b1d b-6f80a9523c599403 b-c28cac0fd14b2094,
dvpwa,security-audit,claude-opus-4-8@high,openai-security-best-practices,3,3,6.333333,6.0,7.0,6.333333,6.0,7.0,,,,0.333333,0.3158,0.3684,,,,6.333333,6.0,7.0,0.476229,0.401365,0.558852,155762.666667,127634.0,175054.0,89.298667,76.421,97.976,27.666667,26.0,30.0,257.298177,237.730469,291.378906,0.333333,-0.666667,1.333333,,,,0.055835,-0.019028,0.131608,0.075194,1.0,4481.0,,1.428686,b-1f92577235dc9338 b-c1156de5ee691d8d b-add8a984f3049dd1,
dvpwa,security-audit,claude-opus-4-8@high,samber-golang-security,3,3,7.333333,7.0,8.0,7.333333,7.0,8.0,,,,0.385967,0.3684,0.4211,,,,7.333333,7.0,8.0,0.546749,0.482777,0.654852,182980.333333,176553.0,194777.0,105.672,100.019,110.905,28.333333,25.0,35.0,266.735677,254.476562,275.480469,1.333333,0.333333,2.333333,,,,0.126356,0.04886,0.220935,0.074557,1.0,7274.0,,1.640248,b-a7a7ec5865fde305 b-012a098fe655c672 b-22f879233b1a37a5,
dvpwa,security-audit,claude-opus-4-8@high,sentry-code-review,3,3,6.0,6.0,6.0,6.0,6.0,6.0,,,,0.3158,0.3158,0.3158,,,,6.0,6.0,6.0,0.34429,0.329951,0.366964,107730.0,106883.0,108169.0,66.063,62.984,67.813,18.666667,18.0,19.0,253.940104,240.988281,268.539062,0.0,-1.0,1.0,,,,-0.076103,-0.106635,-0.043569,0.057382,1.0,3091.0,,1.032871,b-fb08d8b8fa9931d1 b-3628e1593a51e3a9 b-17179680af456bd5,
dvpwa,security-audit,claude-opus-4-8@high,sentry-security-review,3,3,6.333333,6.0,7.0,6.333333,6.0,7.0,,,,0.333333,0.3158,0.3684,,,,6.333333,6.0,7.0,0.40733,0.376083,0.437937,152616.0,132779.0,164671.0,76.710333,73.618,79.689,20.0,18.0,22.0,260.447917,254.484375,265.933594,0.333333,-0.666667,1.333333,,,,-0.013063,-0.050572,0.027751,0.064315,1.0,6889.0,,1.221991,b-faf3fb8e784d797a b-38b305986b0a9dae b-76fc29074a147acb,
