bout_id,contender,arena,task,model,rep,status,findings,cost_usd,tokens_total,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,duration_s,api_s,turns,skill_fired,first_turn_prompt_tokens,rss_peak_kb,threads_peak,fds_peak,cpu_s,stages,findings_before_verify
b-451cb0cbf8d3d39f,baseline,dvpwa,security-audit,claude-opus-4-8@high,1,ok,7,0.447262,115227,14,6156,83924,25133,81.745,81.562,20,,6874,295344,10,20,3.016424,,
b-81d5a569957aec07,baseline,dvpwa,security-audit,claude-opus-4-8@high,2,ok,5,0.427244,132289,16,5040,102228,25005,75.292,75.101,22,,6874,274132,10,20,2.888657,,
b-0948285cdfbd009e,baseline,dvpwa,security-audit,claude-opus-4-8@high,3,ok,6,0.386674,114333,14,6167,89378,18774,86.005,85.774,20,,6874,291356,10,20,3.199188,,
b-31983800358aff05,cf-security-audit,dvpwa,security-audit,claude-opus-4-8@high,1,ok,6,0.905488,670352,50,8203,623245,38854,135.463,135.002,25,true,16282,303496,10,20,4.492037,,
b-7c9ec5dfea8b00f0,cf-security-audit,dvpwa,security-audit,claude-opus-4-8@high,2,ok,6,0.493139,191616,14,7653,161868,22081,102.168,101.931,24,true,16282,297832,10,20,3.533904,,
b-804bdfee01c983a4,cf-security-audit,dvpwa,security-audit,claude-opus-4-8@high,3,ok,7,0.444568,182990,14,6916,156737,19323,96.967,96.74,21,true,16282,300584,10,20,3.258206,,
b-faf3fb8e784d797a,sentry-security-review,dvpwa,security-audit,claude-opus-4-8@high,1,ok,6,0.437937,132779,12,5556,102435,24776,73.618,73.429,18,true,13763,260592,10,20,2.898977,,
b-38b305986b0a9dae,sentry-security-review,dvpwa,security-audit,claude-opus-4-8@high,2,ok,7,0.407971,164671,14,6033,139912,18712,79.689,79.455,22,true,13763,267188,10,20,2.727762,,
b-76fc29074a147acb,sentry-security-review,dvpwa,security-audit,claude-opus-4-8@high,3,ok,6,0.376083,160398,14,5498,137926,16960,76.824,76.641,20,true,13763,272316,10,20,2.604174,,
b-fb08d8b8fa9931d1,sentry-code-review,dvpwa,security-audit,claude-opus-4-8@high,1,ok,6,0.366964,108138,12,4853,82858,20415,62.984,62.819,19,true,9965,258348,11,26,2.565667,,
b-3628e1593a51e3a9,sentry-code-review,dvpwa,security-audit,claude-opus-4-8@high,2,ok,6,0.329951,106883,12,5150,85902,15819,67.813,67.611,18,true,9965,274984,10,20,2.581144,,
b-17179680af456bd5,sentry-code-review,dvpwa,security-audit,claude-opus-4-8@high,3,ok,6,0.335956,108169,12,5225,86742,16190,67.392,67.217,19,true,9965,246772,10,20,2.481321,,
b-1f92577235dc9338,openai-security-best-practices,dvpwa,security-audit,claude-opus-4-8@high,1,ok,7,0.558852,164600,14,7603,126434,30549,97.976,97.835,30,true,11355,298372,10,20,3.337297,,
