arena,contender,bouts,findings,clusters,exclusive_clusters
dvpwa,baseline,3,18,8,0
dvpwa,cf-security-audit,3,19,8,0
dvpwa,ecc-security-review,3,20,7,0
dvpwa,every-ce-security-reviewer,3,21,8,0
dvpwa,neolab-security-auditor,3,21,7,0
dvpwa,openai-security-best-practices,3,19,7,0
dvpwa,samber-golang-security,3,22,9,1
dvpwa,sentry-code-review,3,18,7,0
dvpwa,sentry-security-review,3,19,7,0
dvpwa,tob-differential-review,3,19,7,0
dvpwa,tob-sharp-edges,3,19,7,0
warpgate-operator,baseline,3,9,6,0
warpgate-operator,cf-security-audit,3,9,6,1
warpgate-operator,ecc-security-review,3,11,6,1
warpgate-operator,every-ce-security-reviewer,3,7,4,0
warpgate-operator,neolab-security-auditor,3,9,5,0
warpgate-operator,openai-security-best-practices,3,9,6,0
warpgate-operator,samber-golang-security,3,10,5,0
warpgate-operator,sentry-code-review,3,8,5,1
warpgate-operator,sentry-security-review,3,7,5,0
warpgate-operator,tob-differential-review,3,7,5,1
warpgate-operator,tob-sharp-edges,3,10,5,1
